"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"62","LIV",2,2,10,4,4,0,0,12,4,410,2,12,2,0,0.5,"20180901","LEI",1,"LEIvLIV20180901","away",1,3,0.2,0.5,0,205,6,Inf,1,4,"LIV-4","LEI-4",12,8,9,1,8,7,0,0,2.33333333333333,3,3,3,12,10,20
"63","CHE",2,2,24,6,1,0,0,30,7,625,2,9,2,0,0.68,"20180901","BOU",0,"CHEvBOU20180901","home",1,3,0.0833333333333333,0.333333333333333,0,312.5,4.5,Inf,2,4,"CHE-4","BOU-4",12,7,10,2,6,4,0,1,1.33333333333333,3,3,3,17,17,19
"64","BOU",0,0,8,1,4,0,0,25,6,190,1,6,2,0,0.32,"20180901","CHE",2,"CHEvBOU20180901","away",0,0,0,0,0,Inf,3,Inf,-2,4,"BOU-4","CHE-4",7,1,6,6,2,-4,0,1,-Inf,1,3,3,8,19,17
"65","EVE",1,1,11,1,5,0,0,22,4,400,1,13,3,0,0.54,"20180901","HUD",1,"EVEvHUD20180901","home",0,1,0.0909090909090909,1,0,400,4.33333333333333,Inf,0,4,"EVE-4","HUD-4",6,1,7,7,17,10,0,0,10,1,3,1,6,13,9
"66","HUD",1,0,9,6,0,0,0,24,3,258,0,14,3,0,0.46,"20180901","EVE",1,"EVEvHUD20180901","away",0,1,0.111111111111111,0.166666666666667,1,258,4.66666666666667,Inf,0,4,"HUD-4","EVE-4",2,-8,2,17,7,-10,0,0,-10,1,0,0,15,1,2
"67","WHU",0,0,13,3,5,0,0,22,4,384,1,9,2,0,0.46,"20180901","WLV",1,"WHUvWLV20180901","home",0,0,0,0,0,Inf,4.5,Inf,-1,4,"WHU-4","WLV-4",0,-8,2,20,11,-9,0,0,-Inf,0,0,0,9,6,1
"68","WLV",1,1,15,6,3,0,0,22,4,432,0,11,1,0,0.54,"20180901","WHU",0,"WHUvWLV20180901","away",1,3,0.0666666666666667,0.166666666666667,0,432,11,Inf,1,4,"WLV-4","WHU-4",5,-1,4,11,20,9,0,0,3,1,0,1,5,8,10
"69","CRY",0,0,20,6,4,0,0,36,7,359,0,11,1,0,0.49,"20180901","SOU",2,"CRYvSOU20180901","home",0,0,0,0,0,Inf,11,Inf,-2,4,"CRY-4","SOU-4",3,-3,3,15,12,-3,1,0,-Inf,0,0,3,4,2,16
"70","SOU",2,2,19,6,6,0,1,25,4,358,1,12,1,0,0.51,"20180901","CRY",0,"CRYvSOU20180901","away",1,3,0.105263157894737,0.333333333333333,0,179,12,Inf,2,4,"SOU-4","CRY-4",4,0,4,12,15,3,1,0,1,0,0,1,7,7,12
"71","BHA",2,1,15,5,3,1,2,31,7,314,2,12,3,0,0.43,"20180901","FUL",2,"BHAvFUL20180901","home",0,1,0.133333333333333,0.4,1,157,4,Inf,0,4,"BHA-4","FUL-4",4,-2,5,14,13,-1,1,0,-1,0,3,0,1,9,3
